URL,Category
https://www.ikea.com/gb/en/products/summer/,Summer
https://www.ikea.com/gb/en/products/childrens-ikea-products/,Baby & children products
https://www.ikea.com/gb/en/products/washstands-taps/,"Bathroom sinks, taps & cabinets"
https://www.ikea.com/gb/en/products/beds/,Beds
https://www.ikea.com/gb/en/products/chairs-stools-benches/,"Chairs, stools & benches"
https://www.ikea.com/gb/en/products/cookware/,Cookware
https://www.ikea.com/gb/en/products/decoration/,Decoration
https://www.ikea.com/gb/en/products/desks/,Desks
https://www.ikea.com/gb/en/products/flooring/,Garden & outdoor decking
https://www.ikea.com/gb/en/products/food-beverages/,Food & beverages
https://www.ikea.com/gb/en/products/indoor-gardening/,Indoor gardening
https://www.ikea.com/gb/en/products/kitchen-products/,Kitchen & Worktops
https://www.ikea.com/gb/en/products/laundry-cleaning-products/,Laundry & cleaning products
https://www.ikea.com/gb/en/products/ikea-family-products/,Leisure & safety products
https://www.ikea.com/gb/en/products/lighting/,Lighting
https://www.ikea.com/gb/en/products/mattresses/,Mattresses
https://www.ikea.com/gb/en/products/parasols-gazebos/,Parasols & gazebos
https://www.ikea.com/gb/en/products/small-storage-organisers/,Small storage & organisers
https://www.ikea.com/gb/en/products/smart-home-appliances/,Smart home & Appliances
https://www.ikea.com/gb/en/products/sofas-armchairs/,Sofas & armchairs
https://www.ikea.com/gb/en/products/storage-furniture/,Storage furniture
https://www.ikea.com/gb/en/products/tables/,Tables
https://www.ikea.com/gb/en/products/tableware/,Tableware
https://www.ikea.com/gb/en/products/textiles-rugs/,"Textiles, curtains & rugs"
https://www.ikea.com/gb/en/products/tools-fittings-curtain-rails/,"Tools, fittings & curtain rails"
https://www.ikea.com/gb/en/products/wardrobes/,Wardrobes
https://www.ikea.com/gb/en/products/christmas/,Christmas
https://www.ikea.com/gb/en/products/summer/seasonal-textiles/,Summer textiles
https://www.ikea.com/gb/en/products/summer/summer-cookware-tableware/,Summer cookware & tableware
https://www.ikea.com/gb/en/products/lighting/decorative-lighting/,Decorative lighting
https://www.ikea.com/gb/en/products/summer/summer-candles-candle-holders/,Summer candles & candle holders
https://www.ikea.com/gb/en/products/summer/summer-flowers-vases-pots/,"Summer flowers, vases & pots"
https://www.ikea.com/gb/en/products/ikea-family-products/games-leisure/,Games & leisure
https://www.ikea.com/gb/en/products/childrens-ikea-products/baby/,Baby
https://www.ikea.com/gb/en/products/childrens-ikea-products/children-3-7/,Children 3-7
https://www.ikea.com/gb/en/products/childrens-ikea-products/children-8-12/,Children 8-12
https://www.ikea.com/gb/en/products/washstands-taps/wash-stands/,Vanity units
https://www.ikea.com/gb/en/products/washstands-taps/wash-basins/,Bathroom Sinks
https://www.ikea.com/gb/en/products/washstands-taps/taps/,Taps
https://www.ikea.com/gb/en/products/washstands-taps/showers/,Showers
https://www.ikea.com/gb/en/products/beds/double-king-size-beds/,Double & king size beds
https://www.ikea.com/gb/en/products/beds/guest-beds-day-beds/,Guest beds & day beds
https://www.ikea.com/gb/en/products/beds/single-beds/,Single beds
https://www.ikea.com/gb/en/products/beds/divan-beds/,Divan beds
https://www.ikea.com/gb/en/products/beds/loft-beds-bunk-beds/,Loft beds & bunk beds
https://www.ikea.com/gb/en/products/beds/headboards/,Headboards
https://www.ikea.com/gb/en/products/sofas-armchairs/sofa-beds-chair-beds/,Sofa beds & chair beds
https://www.ikea.com/gb/en/products/childrens-ikea-products/children-3-7/childrens-beds/,Children's beds
https://www.ikea.com/gb/en/products/childrens-ikea-products/children-8-12/childrens-beds-8-12/,Children's beds 8-12
https://www.ikea.com/gb/en/products/mattresses/slatted-bed-bases/,Slatted bed bases
https://www.ikea.com/gb/en/products/mattresses/bed-legs/,Bed legs
https://www.ikea.com/gb/en/products/chairs-stools-benches/chairs/,Chairs
https://www.ikea.com/gb/en/products/chairs-stools-benches/cafe-bar-chairs/,Caf© & bar chairs
https://www.ikea.com/gb/en/products/tables/dining-sets/,Dining sets
https://www.ikea.com/gb/en/products/chairs-stools-benches/garden-chairs-benches-loungers/,"Garden chairs, benches & loungers"
https://www.ikea.com/gb/en/products/chairs-stools-benches/stools-benches/,Stools & benches
https://www.ikea.com/gb/en/products/chairs-stools-benches/step-stools-step-ladders/,Step stools & step ladders
https://www.ikea.com/gb/en/products/chairs-stools-benches/junior-chairs/,Junior chairs
https://www.ikea.com/gb/en/products/chairs-stools-benches/high-chairs/,High chairs
https://www.ikea.com/gb/en/products/sofas-armchairs/armchairs/,Armchairs
https://www.ikea.com/gb/en/products/chairs-stools-benches/office-chairs/,Office chairs
https://www.ikea.com/gb/en/products/chairs-stools-benches/bathroom-stools-benches/,Bathroom stools & benches
