url,meta_category,meta_subCategoryContainer,meta_subCategory
https://www.ikea.com/tw/zh/catalog/categories/departments/hallway/10456/?icid=tw|ic|HPHDN|shoecabinet,Hallway,Clothes & shoe storage,Shoe cabinets
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/39130/?icid=tw|ic|HPHDN|allsofa,Living room,Sofas & armchairs,All sofas
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/20657/?icid=tw|ic|HPHDN|dressingtable,Bedroom,Bedroom storage,Dressing tables
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/20656/?icid=tw|ic|HPHDN|bedsidetable,Bedroom,Beds,Bedside tables
https://www.ikea.com/tw/zh/catalog/categories/departments/secondary_storage/11466/?icid=tw|ic|HPHDN|openshelf,Storage,,Open clothes & shoe storage system
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/11465/?icid=tw|ic|HPHDN|shelf,Living room,Living room storage,Shelving units
https://www.ikea.com/tw/zh/catalog/categories/departments/workspaces/10385/?icid=tw|ic|HPHDN|officestorage,Workspaces,Workspace storage,Storage cabinets
https://www.ikea.com/tw/zh/catalog/categories/departments/workspaces/10711/?icid=tw|ic|HPHDN|officedrawer,Workspaces,Workspace storage,Drawer units
https://www.ikea.com/tw/zh/catalog/categories/departments/workspaces/10382/?icid=tw|ic|HPHDN|bookcase,Workspaces,Workspace storage,Bookcases
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/10384/?icid=tw|ic|HPHDN|showcase,Living room,Living room storage,Cabinets & display cabinets
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/29882/?icid=tw|ic|HPHDN|shelvingsystem,Living room,,Living room storage
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/10475/?icid=tw|ic|HPHDN|Tvstand,Living room,,TV & media furniture
https://www.ikea.com/tw/zh/catalog/categories/departments/bathroom/bathroom_dep_textiles/?icid=tw|ic|HPHDN|batext,Bathroom,,Bathroom textiles
https://www.ikea.com/tw/zh/catalog/categories/departments/bathroom/20802/?icid=tw|ic|HPHDN|bastorage,Bathroom,,Bathroom storage
https://www.ikea.com/tw/zh/catalog/categories/departments/bathroom/10658/?icid=tw|ic|HPHDN|showeracc,Bathroom,,Showers
https://www.ikea.com/tw/zh/catalog/categories/departments/bathroom/40690/?icid=tw|ic|HPHDN|shower,Bathroom,,Showers
https://www.ikea.com/tw/zh/catalog/categories/departments/hallway/?icid=tw|ic|HPHDN|Hallway,Hallway,,
https://www.ikea.com/tw/zh/catalog/categories/departments/lighting/?icid=tw|ic|HPHDN|light,Lighting,,
https://www.ikea.com/tw/zh/catalog/categories/departments/bathroom/?icid=tw|ic|HPHDN|ba,Bathroom,,
https://www.ikea.com/tw/zh/catalog/categories/departments/dining/?icid=tw|ic|HPHDN|di,Dining,,
