url,meta_category,meta_subCategoryContainer,meta_subCategory
https://www.ikea.com/tw/zh/catalog/categories/range/35169/35172/,Home Page,,
https://www.ikea.com/tw/zh/catalog/categories/departments/Textiles/20538/,Textiles & rugs,,Table linen
https://www.ikea.com/tw/zh/catalog/categories/departments/eating/18868/,Eating,,Glassware & jugs
https://www.ikea.com/tw/zh/catalog/categories/departments/eating/20560/,Eating,,Napkins & napkin holders
https://www.ikea.com/tw/zh/catalog/categories/departments/eating/18865/,Eating,,Cutlery
https://www.ikea.com/tw/zh/catalog/categories/departments/eating/18860/,Eating,,Dinnerware
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/18734/,Baby & children products,Children 3-7,Toys & play
https://www.ikea.com/tw/zh/catalog/categories/departments/eating/16044/,Eating,,Coffee & tea
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/18835-2/,Baby & children products,,Children 3-7
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/18706-2/,Baby & children products,Children 3-7,Storage furniture
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/20475-2/,Baby & children products,Children 3-7,Small storage
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/16249/,Baby & children products,Baby,Safety
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/18767/,Baby & children products,Children 3-7,Small furniture
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/18733/,Baby & children products,Children 3-7,Junior chairs
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/18715/,Baby & children products,Baby,Highchairs
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/18755/,Baby & children products,Baby,Cots
https://www.ikea.com/tw/zh/catalog/categories/departments/Textiles/20520/,Textiles & rugs,Bathroom textiles,Towels
https://www.ikea.com/tw/zh/catalog/categories/departments/Textiles/18908/,Textiles & rugs,Bathroom textiles,Shower curtains
https://www.ikea.com/tw/zh/catalog/categories/departments/Textiles/20533/,Textiles & rugs,Bedroom textiles,Pillows
https://www.ikea.com/tw/zh/catalog/categories/departments/Textiles/20529/,Textiles & rugs,Bedroom textiles,Quilts
https://www.ikea.com/tw/zh/catalog/categories/departments/Textiles/10653/,Textiles & rugs,,Rugs
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/10655/,Living room,Living room textiles & rugs,Fabrics & sewing
https://www.ikea.com/tw/zh/catalog/categories/departments/Textiles/10654/,Textiles & rugs,,Curtains & blinds
https://www.ikea.com/tw/zh/catalog/categories/departments/Textiles/18891/,Textiles & rugs,,Curtain rods & rails
https://www.ikea.com/tw/zh/catalog/categories/departments/Textiles/20528/,Textiles & rugs,Bedroom textiles,Blankets & throws
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/10659/,Living room,Living room textiles & rugs,Cushions & cushion covers
https://www.ikea.com/tw/zh/catalog/categories/departments/Textiles/20527/,Textiles & rugs,Bedroom textiles,Bedspreads
https://www.ikea.com/tw/zh/catalog/categories/departments/Textiles/10651/,Textiles & rugs,Bedroom textiles,Bed linen
https://www.ikea.com/tw/zh/catalog/categories/departments/Textiles/20519/,Textiles & rugs,Bathroom textiles,Bath mats
https://www.ikea.com/tw/zh/catalog/categories/departments/dining/21825/,Dining,,Dining tables
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/10705/,Living room,,Coffee & side tables
https://www.ikea.com/tw/zh/catalog/categories/departments/food/25218/,Food,,"Sweets, chocolates & snacks"
https://www.ikea.com/tw/zh/catalog/categories/departments/food/25217/,Food,,Meat
https://www.ikea.com/tw/zh/catalog/categories/departments/food/25216/,Food,,"Sauces, jam & condiments"
https://www.ikea.com/tw/zh/catalog/categories/departments/food/25215/,Food,,"Pastries, desserts & cookies"
https://www.ikea.com/tw/zh/catalog/categories/departments/food/25214/,Food,,Fish & seafood
https://www.ikea.com/tw/zh/catalog/categories/departments/food/25213/,Food,,Vegetables & side dishes
https://www.ikea.com/tw/zh/catalog/categories/departments/food/25211/,Food,,Beverages
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/10398/,Living room,Living room storage,Wall shelves
https://www.ikea.com/tw/zh/catalog/categories/departments/food/25302/,Food,,Cool bags & cookbooks
https://www.ikea.com/tw/zh/catalog/categories/departments/food/25212/,Food,,Bread & dairy
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/10475/,Living room,,TV & media furniture
https://www.ikea.com/tw/zh/catalog/categories/departments/secondary_storage/10397/,Storage,,Storage systems & units
https://www.ikea.com/tw/zh/catalog/categories/departments/workspaces/10385/,Workspaces,Workspace storage,Storage cabinets
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/30454/,Living room,Living room storage,"Sideboards, buffets & console tables"
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/11465/,Living room,Living room storage,Shelving units
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/20657/,Bedroom,Bedroom storage,Dressing tables
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/29882/,Living room,,Living room storage
https://www.ikea.com/tw/zh/catalog/categories/departments/workspaces/10711/,Workspaces,Workspace storage,Drawer units
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/10384/,Living room,Living room storage,Cabinets & display cabinets
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/20656/,Bedroom,Beds,Bedside tables
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/10382/,Living room,Living room storage,Bookcases
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/19059/,Bedroom,Bedroom storage,Bed storage
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/41790/,Bedroom,,Bedroom storage
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/16238/,Living room,Sofas & armchairs,Modular sofas
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/10662/,Living room,Sofas & armchairs,Leather & coated fabric sofas
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/20926/,Living room,Sofas & armchairs,Footstools & pouffes
